0.9103387235	0.4147302740	0.8472681332	0.7778763437	0.9518664107	0.7412013985
0.8833397927	0.4529176822	0.0923263298	0.9181729410	0.0774307982	0.7222310715
0.1830893328	0.9152894343	0.0202770966	0.2289156026	0.4082725653	0.7820712676
0.3586769671	0.9786358315	0.2858643453	0.4029151268	0.0694250056	0.9310044612
0.3602119263	0.4131130055	0.9297812082	0.0995511103	0.4061268971	0.6276672492
0.9147711032	0.8111925564	0.9152032449	0.3055278528	0.3186462662	0.8819587463
0.0108191918	0.6610053880	0.2175502236	0.8700172298	0.8037659436	0.7560438924
0.4160794045	0.7625419717	0.7603217763	0.1864364923	0.3439917805	0.8630800636
0.1995851987	0.6448933224	0.7111777828	0.7915748477	0.8363217930	0.5133301737
0.5080548586	0.3833021638	0.4950001667	0.3830395517	0.3630334365	0.3806791296
